template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time_avg,query_execution_time_min,query_execution_time_max,csv_query_status
Laborbefund,1,10,10,500,500,38923,Laborbefund2_no_orderby.json,2304.2,1296,9382,ok
Laborbefund_1,2,10,20,500,1000,24085,Laborbefund2_no_orderby.json,2380.0,1296,9382,ok
Laborbefund_2,3,10,30,500,1500,19683,Laborbefund2_no_orderby.json,2855.5,1296,9382,ok
Laborbefund_3,4,10,40,500,2000,18560,Laborbefund2_no_orderby.json,3272.1,1296,9382,ok
Laborbefund_4,5,10,50,500,2500,18258,Laborbefund2_no_orderby.json,4087.9,1296,9382,ok
Laborbefund_5,6,10,60,500,3000,18454,Laborbefund2_no_orderby.json,4728.4,1296,9382,ok
Laborbefund_6,7,10,70,500,3500,18129,Laborbefund2_no_orderby.json,5802.0,1296,9382,ok
Laborbefund_7,8,10,80,500,4000,18134,Laborbefund2_no_orderby.json,6570.3,1296,9382,ok
Laborbefund_8,9,10,90,500,4500,24960,Laborbefund2_no_orderby.json,7749.9,1296,9382,ok
Laborbefund_9,10,10,100,500,5000,22206,Laborbefund2_no_orderby.json,7764.8,1296,9382,ok
Laborbefund_10,11,10,110,500,5500,23303,Laborbefund2_no_orderby.json,8872.1,1296,10355,ok
Laborbefund_11,12,10,120,500,6000,20693,Laborbefund2_no_orderby.json,9827.3,1296,10841,ok
Laborbefund_12,13,10,130,500,6500,23108,Laborbefund2_no_orderby.json,10189.8,1296,10841,ok
Laborbefund_13,14,10,140,500,7000,26389,Laborbefund2_no_orderby.json,10722.8,1296,11693,ok
Laborbefund_14,15,10,150,500,7500,21287,Laborbefund2_no_orderby.json,11470.7,1296,12193,ok
Laborbefund_15,16,10,160,500,8000,18717,Laborbefund2_no_orderby.json,11537.4,1296,12717,ok
Laborbefund_16,17,10,170,500,8500,19121,Laborbefund2_no_orderby.json,13274.4,1296,14533,ok
Laborbefund_17,18,10,180,500,9000,19683,Laborbefund2_no_orderby.json,14497.0,1296,15278,ok
Laborbefund_18,19,10,190,500,9500,18905,Laborbefund2_no_orderby.json,13742.8,1296,15278,ok
Laborbefund_19,20,10,200,500,10000,18100,Laborbefund2_no_orderby.json,13982.6,1296,15278,ok
Laborbefund_20,21,10,210,500,10500,18385,Laborbefund2_no_orderby.json,14935.1,1296,15564,ok
Laborbefund_21,22,10,220,500,11000,18354,Laborbefund2_no_orderby.json,15635.1,1296,15882,ok
Laborbefund_22,23,10,230,500,11500,18681,Laborbefund2_no_orderby.json,16550.4,1296,16737,ok
Laborbefund_23,24,10,240,500,12000,19330,Laborbefund2_no_orderby.json,17193.8,1296,18509,ok
Laborbefund_24,25,10,250,500,12500,19333,Laborbefund2_no_orderby.json,17698.4,1296,18509,ok
Laborbefund_25,26,10,260,500,13000,18930,Laborbefund2_no_orderby.json,18279.1,1296,18509,ok
Laborbefund_26,27,10,270,500,13500,19914,Laborbefund2_no_orderby.json,19064.1,1296,19556,ok
Laborbefund_27,28,10,280,500,14000,19320,Laborbefund2_no_orderby.json,19535.9,1296,19872,ok
Laborbefund_28,29,10,290,500,14500,19549,Laborbefund2_no_orderby.json,20192.3,1296,20367,ok
Laborbefund_29,30,10,300,500,15000,20078,Laborbefund2_no_orderby.json,20407.9,1296,20953,ok
Laborbefund_30,31,10,310,500,15500,20269,Laborbefund2_no_orderby.json,21720.5,1296,24997,ok
Laborbefund_31,32,10,320,500,16000,19690,Laborbefund2_no_orderby.json,21878.2,1296,24997,ok
Laborbefund_32,33,10,330,500,16500,20078,Laborbefund2_no_orderby.json,24201.4,1296,39189,ok
Laborbefund_33,34,10,340,500,17000,20258,Laborbefund2_no_orderby.json,22916.1,1296,39189,ok
Laborbefund_34,35,10,350,500,17500,20225,Laborbefund2_no_orderby.json,23635.8,1296,39189,ok
Laborbefund_35,36,10,360,500,18000,20345,Laborbefund2_no_orderby.json,24223.7,1296,39189,ok
Laborbefund_36,37,10,370,500,18500,20807,Laborbefund2_no_orderby.json,25225.2,1296,39189,ok
Laborbefund_37,38,10,380,500,19000,20707,Laborbefund2_no_orderby.json,26823.0,1296,39189,ok
Laborbefund_38,39,10,390,500,19500,21919,Laborbefund2_no_orderby.json,26437.1,1296,39189,ok
Laborbefund_39,40,10,400,500,20000,21185,Laborbefund2_no_orderby.json,27115.6,1296,39189,ok
Laborbefund_40,41,10,410,500,20500,21682,Laborbefund2_no_orderby.json,28152.1,1296,39189,ok
Laborbefund_41,42,10,420,500,21000,21421,Laborbefund2_no_orderby.json,28640.6,1296,39189,ok
Laborbefund_42,43,10,430,500,21500,21454,Laborbefund2_no_orderby.json,29232.9,1296,39189,ok
Laborbefund_43,44,10,440,500,22000,21629,Laborbefund2_no_orderby.json,30185.6,1296,39189,ok
Laborbefund_44,45,10,450,500,22500,22309,Laborbefund2_no_orderby.json,30658.9,1296,39189,ok
Laborbefund_45,46,10,460,500,23000,21590,Laborbefund2_no_orderby.json,31154.0,1296,39189,ok
Laborbefund_46,47,10,470,500,23500,22718,Laborbefund2_no_orderby.json,31870.6,1296,39189,ok
Laborbefund_47,48,10,480,500,24000,22332,Laborbefund2_no_orderby.json,32444.4,1296,39189,ok
Laborbefund_48,49,10,490,500,24500,23997,Laborbefund2_no_orderby.json,33492.1,1296,39189,ok
Laborbefund_49,50,10,500,500,25000,22858,Laborbefund2_no_orderby.json,34111.6,1296,39189,ok
