template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time_avg,query_execution_time_min,query_execution_time_max,csv_query_status
Diagnose,1,10,10,500,500,35189,Diagnose_no_orderby.json,1206.6,385,8082,ok
Diagnose_1,2,10,20,500,1000,21125,Diagnose_no_orderby.json,745.8,385,8082,ok
Diagnose_2,3,10,30,500,1500,16816,Diagnose_no_orderby.json,930.8,385,8082,ok
Diagnose_3,4,10,40,500,2000,15989,Diagnose_no_orderby.json,1044.4,385,8082,ok
Diagnose_4,5,10,50,500,2500,16857,Diagnose_no_orderby.json,867.2,385,8082,ok
Diagnose_5,6,10,60,500,3000,15786,Diagnose_no_orderby.json,1091.4,385,8082,ok
Diagnose_6,7,10,70,500,3500,15174,Diagnose_no_orderby.json,1153.8,385,8082,ok
Diagnose_7,8,10,80,500,4000,15151,Diagnose_no_orderby.json,1313.8,385,8082,ok
Diagnose_8,9,10,90,500,4500,15100,Diagnose_no_orderby.json,1558.0,385,8082,ok
Diagnose_9,10,10,100,500,5000,15674,Diagnose_no_orderby.json,1580.3,385,8082,ok
Diagnose_10,11,10,110,500,5500,16333,Diagnose_no_orderby.json,1724.4,385,8082,ok
Diagnose_11,12,10,120,500,6000,15861,Diagnose_no_orderby.json,1854.2,385,8082,ok
Diagnose_12,13,10,130,500,6500,15771,Diagnose_no_orderby.json,2007.8,385,8082,ok
Diagnose_13,14,10,140,500,7000,15999,Diagnose_no_orderby.json,2148.9,385,8082,ok
Diagnose_14,15,10,150,500,7500,15879,Diagnose_no_orderby.json,2372.7,385,8082,ok
Diagnose_15,16,10,160,500,8000,15930,Diagnose_no_orderby.json,2423.7,385,8082,ok
Diagnose_16,17,10,170,500,8500,17288,Diagnose_no_orderby.json,2583.4,385,8082,ok
Diagnose_17,18,10,180,500,9000,17860,Diagnose_no_orderby.json,2763.5,385,8082,ok
Diagnose_18,19,10,190,500,9500,16403,Diagnose_no_orderby.json,2892.6,385,8082,ok
Diagnose_19,20,10,200,500,10000,16399,Diagnose_no_orderby.json,3060.6,385,8082,ok
Diagnose_20,21,10,210,500,10500,16608,Diagnose_no_orderby.json,3173.8,385,8082,ok
Diagnose_21,22,10,220,500,11000,16900,Diagnose_no_orderby.json,3355.5,385,8082,ok
Diagnose_22,23,10,230,500,11500,17013,Diagnose_no_orderby.json,3560.7,385,8082,ok
Diagnose_23,24,10,240,500,12000,17179,Diagnose_no_orderby.json,3622.5,385,8082,ok
Diagnose_24,25,10,250,500,12500,17408,Diagnose_no_orderby.json,3736.7,385,8082,ok
Diagnose_25,26,10,260,500,13000,17413,Diagnose_no_orderby.json,3997.8,385,8082,ok
Diagnose_26,27,10,270,500,13500,18258,Diagnose_no_orderby.json,4018.4,385,8082,ok
Diagnose_27,28,10,280,500,14000,17657,Diagnose_no_orderby.json,4114.9,385,8082,ok
Diagnose_28,29,10,290,500,14500,17470,Diagnose_no_orderby.json,4492.7,385,8082,ok
Diagnose_29,30,10,300,500,15000,18443,Diagnose_no_orderby.json,4578.2,385,8082,ok
Diagnose_30,31,10,310,500,15500,17949,Diagnose_no_orderby.json,4671.7,385,8082,ok
Diagnose_31,32,10,320,500,16000,18094,Diagnose_no_orderby.json,4806.2,385,8082,ok
Diagnose_32,33,10,330,500,16500,19108,Diagnose_no_orderby.json,4965.3,385,8082,ok
Diagnose_33,34,10,340,500,17000,18528,Diagnose_no_orderby.json,5042.3,385,8082,ok
Diagnose_34,35,10,350,500,17500,18574,Diagnose_no_orderby.json,5288.0,385,8082,ok
Diagnose_35,36,10,360,500,18000,18741,Diagnose_no_orderby.json,5321.5,385,8082,ok
Diagnose_36,37,10,370,500,18500,19481,Diagnose_no_orderby.json,5582.1,385,8082,ok
Diagnose_37,38,10,380,500,19000,19174,Diagnose_no_orderby.json,5621.7,385,8082,ok
Diagnose_38,39,10,390,500,19500,20421,Diagnose_no_orderby.json,7005.5,385,12209,ok
Diagnose_39,40,10,400,500,20000,21592,Diagnose_no_orderby.json,6043.9,385,12209,ok
Diagnose_40,41,10,410,500,20500,20166,Diagnose_no_orderby.json,6043.7,385,12209,ok
Diagnose_41,42,10,420,500,21000,19547,Diagnose_no_orderby.json,6384.9,385,12209,ok
Diagnose_42,43,10,430,500,21500,20304,Diagnose_no_orderby.json,6391.1,385,12209,ok
Diagnose_43,44,10,440,500,22000,20375,Diagnose_no_orderby.json,6483.5,385,12209,ok
Diagnose_44,45,10,450,500,22500,20266,Diagnose_no_orderby.json,6693.2,385,12209,ok
Diagnose_45,46,10,460,500,23000,20810,Diagnose_no_orderby.json,6946.1,385,12209,ok
Diagnose_46,47,10,470,500,23500,20482,Diagnose_no_orderby.json,6881.8,385,12209,ok
Diagnose_47,48,10,480,500,24000,21298,Diagnose_no_orderby.json,7051.7,385,12209,ok
Diagnose_48,49,10,490,500,24500,21462,Diagnose_no_orderby.json,7144.3,385,12209,ok
Diagnose_49,50,10,500,500,25000,20879,Diagnose_no_orderby.json,7308.4,385,12209,ok
