template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time_avg,query_execution_time_min,query_execution_time_max,csv_query_status
minimal_observation.en.v1,1,10,10,500,500,24170,minimal_observation.json,619.3,21,5953,ok
minimal_observation.en.v1_1,2,10,20,500,1000,15846,minimal_observation.json,44.3,21,5953,ok
minimal_observation.en.v1_2,3,10,30,500,1500,12753,minimal_observation.json,38.6,21,5953,ok
minimal_observation.en.v1_3,4,10,40,500,2000,11946,minimal_observation.json,54.1,21,5953,ok
minimal_observation.en.v1_4,5,10,50,500,2500,11888,minimal_observation.json,36.2,18,5953,ok
minimal_observation.en.v1_5,6,10,60,500,3000,12348,minimal_observation.json,67.9,18,5953,ok
minimal_observation.en.v1_6,7,10,70,500,3500,11461,minimal_observation.json,47.8,18,5953,ok
minimal_observation.en.v1_7,8,10,80,500,4000,11250,minimal_observation.json,48.0,18,5953,ok
minimal_observation.en.v1_8,9,10,90,500,4500,11803,minimal_observation.json,40.4,18,5953,ok
minimal_observation.en.v1_9,10,10,100,500,5000,11835,minimal_observation.json,41.1,18,5953,ok
minimal_observation.en.v1_10,11,10,110,500,5500,12440,minimal_observation.json,46.5,18,5953,ok
minimal_observation.en.v1_11,12,10,120,500,6000,11996,minimal_observation.json,49.3,18,5953,ok
minimal_observation.en.v1_12,13,10,130,500,6500,12272,minimal_observation.json,57.9,18,5953,ok
minimal_observation.en.v1_13,14,10,140,500,7000,12388,minimal_observation.json,50.9,18,5953,ok
minimal_observation.en.v1_14,15,10,150,500,7500,12547,minimal_observation.json,43.1,18,5953,ok
minimal_observation.en.v1_15,16,10,160,500,8000,12530,minimal_observation.json,72.8,18,5953,ok
minimal_observation.en.v1_16,17,10,170,500,8500,13167,minimal_observation.json,42.3,18,5953,ok
minimal_observation.en.v1_17,18,10,180,500,9000,12868,minimal_observation.json,68.4,18,5953,ok
minimal_observation.en.v1_18,19,10,190,500,9500,13312,minimal_observation.json,106.1,18,5953,ok
minimal_observation.en.v1_19,20,10,200,500,10000,13582,minimal_observation.json,61.9,18,5953,ok
minimal_observation.en.v1_20,21,10,210,500,10500,13000,minimal_observation.json,88.6,18,5953,ok
minimal_observation.en.v1_21,22,10,220,500,11000,13151,minimal_observation.json,89.0,18,5953,ok
minimal_observation.en.v1_22,23,10,230,500,11500,13438,minimal_observation.json,56.1,18,5953,ok
minimal_observation.en.v1_23,24,10,240,500,12000,14830,minimal_observation.json,108.3,18,5953,ok
minimal_observation.en.v1_24,25,10,250,500,12500,14299,minimal_observation.json,58.9,18,5953,ok
minimal_observation.en.v1_25,26,10,260,500,13000,14174,minimal_observation.json,66.2,18,5953,ok
minimal_observation.en.v1_26,27,10,270,500,13500,14095,minimal_observation.json,58.7,18,5953,ok
minimal_observation.en.v1_27,28,10,280,500,14000,14487,minimal_observation.json,86.6,18,5953,ok
minimal_observation.en.v1_28,29,10,290,500,14500,15216,minimal_observation.json,83.5,18,5953,ok
minimal_observation.en.v1_29,30,10,300,500,15000,15702,minimal_observation.json,66.6,18,5953,ok
minimal_observation.en.v1_30,31,10,310,500,15500,14988,minimal_observation.json,70.6,18,5953,ok
minimal_observation.en.v1_31,32,10,320,500,16000,15109,minimal_observation.json,95.6,18,5953,ok
minimal_observation.en.v1_32,33,10,330,500,16500,18790,minimal_observation.json,133.2,18,5953,ok
minimal_observation.en.v1_33,34,10,340,500,17000,16118,minimal_observation.json,142.6,18,5953,ok
minimal_observation.en.v1_34,35,10,350,500,17500,16150,minimal_observation.json,77.0,18,5953,ok
minimal_observation.en.v1_35,36,10,360,500,18000,15823,minimal_observation.json,133.4,18,5953,ok
minimal_observation.en.v1_36,37,10,370,500,18500,16059,minimal_observation.json,77.5,18,5953,ok
minimal_observation.en.v1_37,38,10,380,500,19000,15584,minimal_observation.json,78.0,18,5953,ok
minimal_observation.en.v1_38,39,10,390,500,19500,16305,minimal_observation.json,142.9,18,5953,ok
minimal_observation.en.v1_39,40,10,400,500,20000,16262,minimal_observation.json,96.9,18,5953,ok
minimal_observation.en.v1_40,41,10,410,500,20500,17170,minimal_observation.json,94.2,18,5953,ok
minimal_observation.en.v1_41,42,10,420,500,21000,16441,minimal_observation.json,111.3,18,5953,ok
minimal_observation.en.v1_42,43,10,430,500,21500,17472,minimal_observation.json,100.3,18,5953,ok
minimal_observation.en.v1_43,44,10,440,500,22000,17889,minimal_observation.json,117.0,18,5953,ok
minimal_observation.en.v1_44,45,10,450,500,22500,17067,minimal_observation.json,102.1,18,5953,ok
minimal_observation.en.v1_45,46,10,460,500,23000,17422,minimal_observation.json,98.8,18,5953,ok
minimal_observation.en.v1_46,47,10,470,500,23500,18172,minimal_observation.json,107.8,18,5953,ok
minimal_observation.en.v1_47,48,10,480,500,24000,18266,minimal_observation.json,112.8,18,5953,ok
minimal_observation.en.v1_48,49,10,490,500,24500,21074,minimal_observation.json,99.6,18,5953,ok
minimal_observation.en.v1_49,50,10,500,500,25000,19794,minimal_observation.json,112.4,18,5953,ok
