template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time_avg,query_execution_time_min,query_execution_time_max,csv_query_status
nested.en.v1,1,10,10,500,500,21239,nested.json,832.6,71,7430,ok
nested.en.v1_1,2,10,20,500,1000,22514,nested.json,122.6,62,7430,ok
nested.en.v1_2,3,10,30,500,1500,15146,nested.json,94.9,62,7430,ok
nested.en.v1_3,4,10,40,500,2000,13431,nested.json,135.0,62,7430,ok
nested.en.v1_4,5,10,50,500,2500,13982,nested.json,119.6,62,7430,ok
nested.en.v1_5,6,10,60,500,3000,13936,nested.json,203.2,62,7430,ok
nested.en.v1_6,7,10,70,500,3500,14793,nested.json,85.6,49,7430,ok
nested.en.v1_7,8,10,80,500,4000,13348,nested.json,125.5,49,7430,ok
nested.en.v1_8,9,10,90,500,4500,13629,nested.json,129.0,49,7430,ok
nested.en.v1_9,10,10,100,500,5000,14162,nested.json,217.9,49,7430,ok
nested.en.v1_10,11,10,110,500,5500,15120,nested.json,192.6,49,7430,ok
nested.en.v1_11,12,10,120,500,6000,13821,nested.json,159.4,49,7430,ok
nested.en.v1_12,13,10,130,500,6500,14270,nested.json,230.8,49,7430,ok
nested.en.v1_13,14,10,140,500,7000,14901,nested.json,212.7,49,7430,ok
nested.en.v1_14,15,10,150,500,7500,13838,nested.json,288.0,49,7430,ok
nested.en.v1_15,16,10,160,500,8000,14239,nested.json,186.2,49,7430,ok
nested.en.v1_16,17,10,170,500,8500,14333,nested.json,190.3,49,7430,ok
nested.en.v1_17,18,10,180,500,9000,14756,nested.json,240.0,49,7430,ok
nested.en.v1_18,19,10,190,500,9500,14418,nested.json,252.5,49,7430,ok
nested.en.v1_19,20,10,200,500,10000,15785,nested.json,358.1,49,7430,ok
nested.en.v1_20,21,10,210,500,10500,16626,nested.json,204.2,49,7430,ok
nested.en.v1_21,22,10,220,500,11000,14784,nested.json,186.7,49,7430,ok
nested.en.v1_22,23,10,230,500,11500,15074,nested.json,206.5,49,7430,ok
nested.en.v1_23,24,10,240,500,12000,15250,nested.json,177.9,49,7430,ok
nested.en.v1_24,25,10,250,500,12500,15418,nested.json,322.9,49,7430,ok
nested.en.v1_25,26,10,260,500,13000,15673,nested.json,341.8,49,7430,ok
nested.en.v1_26,27,10,270,500,13500,15695,nested.json,316.1,49,7430,ok
nested.en.v1_27,28,10,280,500,14000,15890,nested.json,326.1,49,7430,ok
nested.en.v1_28,29,10,290,500,14500,16210,nested.json,385.5,49,7430,ok
nested.en.v1_29,30,10,300,500,15000,16507,nested.json,155.9,49,7430,ok
nested.en.v1_30,31,10,310,500,15500,16649,nested.json,148.5,49,7430,ok
nested.en.v1_31,32,10,320,500,16000,16507,nested.json,185.7,49,7430,ok
nested.en.v1_32,33,10,330,500,16500,17032,nested.json,305.1,49,7430,ok
nested.en.v1_33,34,10,340,500,17000,17368,nested.json,188.4,49,7430,ok
nested.en.v1_34,35,10,350,500,17500,16829,nested.json,157.8,49,7430,ok
nested.en.v1_35,36,10,360,500,18000,17150,nested.json,328.3,49,7430,ok
nested.en.v1_36,37,10,370,500,18500,17113,nested.json,196.4,49,7430,ok
nested.en.v1_37,38,10,380,500,19000,17358,nested.json,173.7,49,7430,ok
nested.en.v1_38,39,10,390,500,19500,19202,nested.json,176.7,49,7430,ok
nested.en.v1_39,40,10,400,500,20000,17645,nested.json,201.2,49,7430,ok
nested.en.v1_40,41,10,410,500,20500,17648,nested.json,217.6,49,7430,ok
nested.en.v1_41,42,10,420,500,21000,18016,nested.json,177.1,49,7430,ok
nested.en.v1_42,43,10,430,500,21500,17973,nested.json,213.2,49,7430,ok
nested.en.v1_43,44,10,440,500,22000,18574,nested.json,210.4,49,7430,ok
nested.en.v1_44,45,10,450,500,22500,18052,nested.json,209.3,49,7430,ok
nested.en.v1_45,46,10,460,500,23000,19157,nested.json,206.7,49,7430,ok
nested.en.v1_46,47,10,470,500,23500,18572,nested.json,227.6,49,7430,ok
nested.en.v1_47,48,10,480,500,24000,19788,nested.json,241.3,49,7430,ok
nested.en.v1_48,49,10,490,500,24500,28009,nested.json,250.3,49,7430,ok
nested.en.v1_49,50,10,500,500,25000,19279,nested.json,243.6,49,7430,ok
